"foldChange","dispersion","u","fdr","power","m","m1","X1","X2"
4,0.5,40,0.05,0.9,10000,1500,9,14.525
4,0.5,40,0.05,0.9,10000,3000,8,14
4,0.5,40,0.05,0.9,30000,100,15,22.682
4,0.5,40,0.05,0.9,30000,500,13,19.783
4,0.5,40,0.05,0.9,30000,1500,11,18.915
4,0.5,40,0.05,0.9,30000,3000,10,18.996
4,0.5,40,0.1,0.8,10000,100,10,19.424
4,0.5,40,0.1,0.8,10000,500,8,13.551
4,0.5,40,0.1,0.8,10000,1500,7,12.893
4,0.5,40,0.1,0.8,10000,3000,5,11.373
4,0.5,40,0.1,0.8,30000,100,12,20.041
4,0.5,40,0.1,0.8,30000,500,10,18.926
4,0.5,40,0.1,0.8,30000,1500,8,13.587
4,0.5,40,0.1,0.8,30000,3000,7,12.881
4,0.5,40,0.1,0.9,10000,100,12,19.632
4,0.5,40,0.1,0.9,10000,500,10,18.778
4,0.5,40,0.1,0.9,10000,1500,8,13.598
4,0.5,40,0.1,0.9,10000,3000,7,12.768
4,0.5,40,0.1,0.9,30000,100,14,22.175
4,0.5,40,0.1,0.9,30000,500,11,18.863
4,0.5,40,0.1,0.9,30000,1500,10,18.757
4,0.5,40,0.1,0.9,30000,3000,9,13.508
4,1,1,0.01,0.8,10000,100,39,0.230000000000018
4,1,1,0.01,0.8,10000,500,33,0.152999999999963
4,1,1,0.01,0.8,10000,1500,28,0.145000000000039
4,1,1,0.01,0.8,10000,3000,25,0.130999999999972
4,1,1,0.01,0.8,30000,100,43,0.246000000000038
4,1,1,0.01,0.8,30000,500,37,0.22399999999999
4,1,1,0.01,0.8,30000,1500,33,0.154999999999973
4,1,1,0.01,0.8,30000,3000,30,0.152000000000044
4,1,1,0.01,0.9,10000,100,45,0.245999999999981
4,1,1,0.01,0.9,10000,500,39,0.228999999999985
4,1,1,0.01,0.9,10000,1500,33,0.15100000000001
4,1,1,0.01,0.9,10000,3000,30,0.148000000000025
4,1,1,0.01,0.9,30000,100,50,0.343999999999994
4,1,1,0.01,0.9,30000,500,43,0.243999999999971
4,1,1,0.01,0.9,30000,1500,39,0.228000000000009
4,1,1,0.01,0.9,30000,3000,35,0.63
4,1,1,0.05,0.8,10000,100,33,0.329
4,1,1,0.05,0.8,10000,500,26,0.303
4,1,1,0.05,0.8,10000,1500,22,0.148
4,1,1,0.05,0.8,10000,3000,18,0.129
4,1,1,0.05,0.8,30000,100,37,0.251
4,1,1,0.05,0.8,30000,500,31,0.158
4,1,1,0.05,0.8,30000,1500,26,0.15
4,1,1,0.05,0.8,30000,3000,23,0.134
4,1,1,0.05,0.9,10000,100,39,0.238
4,1,1,0.05,0.9,10000,500,32,0.159
4,1,1,0.05,0.9,10000,1500,26,0.163
4,1,1,0.05,0.9,10000,3000,22,0.131
